匶	jiu
区	qu
医	yi
匾	bian
匿	ni
區	qu
十	shi
午	wu
卉	hui
卋	shi
华	hua
卓	zhuo
卙	ji
卞	bian
卣	you
卮	zhi
即	ji
卺	jin
卼	wu
卽	ji
厁	san
厅	ting
厎	di
厔	zhi
厛	ting
厜	zui
厢	xiang
厧	dian
厩	jiu
厪	jin
厮	si
厶	si
厺	qu
去	qu
厼	er
县	xian
叁	san
又	you
及	ji
友	you
反	fan
収	shou
叐	ba
叓	shi
叔	shu
叕	zhuo
取	qu
受	shou
变	bian
叝	ji
叨	dao
只	zhi
叭	ba
史	shi
右	you
叶	ye
号	hao
司	si
叽	ji
各	ge
吅	xuan
吉	ji
向	xiang
吓	xia
吔	ye
吚	yi
吡	bi
吧	ba
吩	fen
听	ting
启	qi
吱	zhi
吳	wu
吴	wu
吾	wu
呄	ge
呇	qi
呉	wu
呋	fu
呒	wu
呓	yi
呜	wu
呞	shi
呦	you
呧	di
呩	shi
呭	yi
呮	qi
呯	ping
呹	yi
呺	xiao
呾	da
呿	qu
咈	fu
咎	jiu
咐	fu
咑	da
咗	zuo
咚	dong
咝	si
咞	xian
咠	qi
咡	er
咦	yi
咫	zhi
咭	ji
咯	ge
咰	shu
咱	zan
咲	xiao
咴	hui
咸	xian
咺	xuan
咿	yi
哊	you
响	xiang
哒	da
哓	xiao
哔	bi
哕	hui
哗	hua
哛	fen
哜	ji
哠	hao
哥	ge
哮	xiao
哯	xian
哵	ba
哹	fu
哿	ge
唀	you
唈	yi
唌	xian
唑	zuo
唔	wu
唘	qi
唙	di
唟	qu
唧	ji
唫	jin
唭	qi
售	shou
唲	er
唵	an
唶	ze
啄	zhuo
啅	zhuo
商	shang
啇	di
啌	xiang
啎	wu
啓	qi
啔	qi
啘	ye
啚	bi
啟	qi
啣	xian
啧	ze
啲	di
啸	xiao
啽	an
啾	jiu
喕	mian
喙	hui
喞	ji
喧	xuan
嗒	da
嗘	ji
嗚	wu
嗜	shi
嗝	ge
嗣	si
嗥	hao
嗭	zhi
嗰	ge
嗶	bi
嗺	zui
嘀	di
嘁	qi
嘅	kai
嘋	xiao
嘐	xiao
嘒	hui
嘕	xian
嘖	ze
嘢	ye
嘨	xiao
嘩	hua
嘯	xiao
嘰	ji
嘱	zhu
嘴	zui
嘵	xiao
嘶	si
嘷	hao
嘸	fu
噃	fan
噅	hui
噆	zan
噎	ye
噐	qi
噑	hao
噕	hui
噝	si
噠	da
噤	jin
器	qi
噫	yi
噬	shi
噵	dao
噿	zui
嚁	di
嚆	hao
嚇	xia
嚈	ye
嚌	ji
嚍	jin
嚎	hao
嚖	hui
嚘	you
嚠	liu
嚣	xiao
嚮	xiang
嚸	dian
嚻	xiao
囂	xiao
囈	yi
囑	zhu
囘	hui
四	si
回	hui
囬	hui
囿	you
圚	hui
圛	yi
圢	ting
圪	ge
圬	wu
圯	yi
地	di
圴	zhuo
圷	xia
圻	qi
圾	ji
址	zhi
坁	zhi
坄	yi
坐	zuo
坒	bi
坔	di
坖	ji
坘	di
坝	ba
坞	wu
坟	fen
坥	qu
坧	zhi
坪	ping
坫	dian
坭	ni
坶	mu
坺	ba
坾	zhu
坿	fu
垁	zhi
垌	dong
垍	ji
垘	fu
垧	shang
垨	shou
垫	dian
垯	da
垲	kai
垵	an
垷	xian
垺	fu
垻	ba
垼	yi
埊	di
埐	jin
埖	hua
埘	shi
埜	ye
埞	di
埪	kong
埬	dong
埯	an
埴	zhi
埶	yi
執	zhi
埸	yi
基	ji
埼	qi
埿	ni
堄	ni
堇	jin
堓	an
堛	bi
堤	di
堨	ye
堻	jin
塀	ping
塂	xiang
塇	xuan
塈	ji
塉	ji
塏	kai
塒	shi
